重分片时间:1.874927792s, witness:6.095948992s,consensus:4.177520811s,downloadtx:3.050409929s,uploadtx:3.044040618s,downloadproposals:335.958788ms
重分片时间:677.655505ms, witness:6.077450164s,consensus:4.200716095s,downloadtx:3.050786875s,uploadtx:3.025322873s,downloadproposals:359.62052ms
重分片时间:545.186627ms, witness:6.101420269s,consensus:4.176869915s,downloadtx:3.054904007s,uploadtx:3.04418002s,downloadproposals:335.67821ms
重分片时间:1.669720866s, witness:6.092033322s,consensus:4.12332842s,downloadtx:3.047643698s,uploadtx:3.042612314s,downloadproposals:280.126681ms
重分片时间:1.065823178s, witness:6.074573559s,consensus:4.089780003s,downloadtx:3.035157099s,uploadtx:3.038171084s,downloadproposals:246.023169ms
重分片时间:638.907597ms, witness:6.044154519s,consensus:4.073631647s,downloadtx:3.031124626s,uploadtx:3.01171928s,downloadproposals:210.252492ms
重分片时间:1.142500768s, witness:6.098771185s,consensus:4.583525664s,downloadtx:3.067645494s,uploadtx:3.030034474s,downloadproposals:742.109951ms
重分片时间:2.050484915s, witness:6.059881179s,consensus:4.186567132s,downloadtx:3.042997092s,uploadtx:3.014653869s,downloadproposals:344.174318ms
重分片时间:615.945836ms, witness:6.110618298s,consensus:4.13561654s,downloadtx:3.067430691s,uploadtx:3.041825288s,downloadproposals:292.668824ms
重分片时间:702.343224ms, witness:6.112026403s,consensus:4.111803326s,downloadtx:3.06679526s,uploadtx:3.043757887s,downloadproposals:269.174172ms
重分片时间:924.834846ms, witness:6.084148123s,consensus:4.116959008s,downloadtx:3.042287388s,uploadtx:3.038751986s,downloadproposals:272.334866ms
重分片时间:1.66849075s, witness:6.096921916s,consensus:4.114778192s,downloadtx:3.05312161s,uploadtx:3.042154494s,downloadproposals:264.561063ms
重分片时间:1.492356747s, witness:6.089373523s,consensus:4.174547205s,downloadtx:3.050826969s,uploadtx:3.036784657s,downloadproposals:332.541276ms
重分片时间:958.356957ms, witness:6.068048329s,consensus:4.167661s,downloadtx:3.038036598s,uploadtx:3.027118602s,downloadproposals:325.497173ms
重分片时间:1.562371129s, witness:6.095864275s,consensus:4.144928803s,downloadtx:3.05183257s,uploadtx:3.042238715s,downloadproposals:304.610113ms
重分片时间:1.311462925s, witness:6.087318875s,consensus:4.106786368s,downloadtx:3.038583681s,uploadtx:3.046342405s,downloadproposals:263.80578ms
重分片时间:704.550977ms, witness:6.087694049s,consensus:4.184213712s,downloadtx:3.052467873s,uploadtx:3.033221059s,downloadproposals:343.274245ms
重分片时间:454.295663ms, witness:6.091861586s,consensus:4.156763995s,downloadtx:3.042225182s,uploadtx:3.046716681s,downloadproposals:313.765108ms
重分片时间:1.349600297s, witness:6.104779099s,consensus:4.149822855s,downloadtx:3.044468138s,uploadtx:3.058312165s,downloadproposals:305.493311ms
重分片时间:681.693388ms, witness:6.152894799s,consensus:4.106943437s,downloadtx:3.125494252s,uploadtx:3.025374702s,downloadproposals:263.386828ms
重分片时间:922.682775ms, witness:6.102621989s,consensus:4.165151473s,downloadtx:3.045398097s,uploadtx:3.054784306s,downloadproposals:322.01863ms
重分片时间:500.088127ms, witness:6.092113586s,consensus:4.148101088s,downloadtx:3.053486192s,uploadtx:3.036413459s,downloadproposals:303.891695ms
重分片时间:400.308547ms, witness:6.094473377s,consensus:4.157174915s,downloadtx:3.054618378s,uploadtx:3.037526198s,downloadproposals:313.358164ms
重分片时间:1.898112587s, witness:6.086604143s,consensus:4.16869353s,downloadtx:3.052646628s,uploadtx:3.031768094s,downloadproposals:325.244515ms
重分片时间:1.413272564s, witness:6.081551872s,consensus:4.217420419s,downloadtx:3.050976633s,uploadtx:3.028787927s,downloadproposals:375.857538ms
重分片时间:648.455914ms, witness:6.088831914s,consensus:4.181387314s,downloadtx:3.04023917s,uploadtx:3.044155599s,downloadproposals:338.734251ms
重分片时间:1.630254461s, witness:6.08928393s,consensus:4.199208625s,downloadtx:3.052488781s,uploadtx:3.034678748s,downloadproposals:355.519872ms
重分片时间:1.913006503s, witness:6.068573941s,consensus:4.181887178s,downloadtx:3.030785329s,uploadtx:3.034423195s,downloadproposals:338.475473ms
重分片时间:1.305449451s, witness:6.110055207s,consensus:4.077945606s,downloadtx:3.058335783s,uploadtx:3.049466346s,downloadproposals:236.374107ms
重分片时间:2.181059807s, witness:6.084193333s,consensus:4.220635302s,downloadtx:3.048296932s,uploadtx:3.033569855s,downloadproposals:377.66175ms
重分片时间:1.476413026s, witness:6.076845476s,consensus:4.141591087s,downloadtx:3.038399236s,uploadtx:3.036099685s,downloadproposals:299.427447ms
重分片时间:1.741481623s, witness:6.089799434s,consensus:4.20416661s,downloadtx:3.049457434s,uploadtx:3.038065753s,downloadproposals:360.733599ms
重分片时间:2.006731064s, witness:6.077350374s,consensus:4.134120639s,downloadtx:3.042648343s,uploadtx:3.032975072s,downloadproposals:292.003553ms
重分片时间:1.308540583s, witness:6.090708257s,consensus:4.18342279s,downloadtx:3.041017053s,uploadtx:3.046652825s,downloadproposals:337.564003ms
重分片时间:1.537993325s, witness:6.093813637s,consensus:4.154753437s,downloadtx:3.045660431s,uploadtx:3.045734578s,downloadproposals:312.38008ms
重分片时间:1.726858335s, witness:6.106182402s,consensus:4.262943874s,downloadtx:3.05914373s,uploadtx:3.044917409s,downloadproposals:421.356514ms
重分片时间:2.254824082s, witness:6.106896757s,consensus:4.116821899s,downloadtx:3.05160281s,uploadtx:3.048459673s,downloadproposals:272.383689ms
重分片时间:2.291482978s, witness:6.087641757s,consensus:4.170405702s,downloadtx:3.040773324s,uploadtx:3.044471664s,downloadproposals:327.951922ms
重分片时间:1.879594557s, witness:6.114085333s,consensus:4.100784872s,downloadtx:3.054908807s,uploadtx:3.057197225s,downloadproposals:256.957889ms
重分片时间:1.221468658s, witness:6.090650378s,consensus:4.278816621s,downloadtx:3.04213747s,uploadtx:3.047276133s,downloadproposals:433.11582ms
重分片时间:1.774503078s, witness:6.101088018s,consensus:4.156068595s,downloadtx:3.053289601s,uploadtx:3.045198048s,downloadproposals:311.141528ms
重分片时间:1.191117514s, witness:6.054445646s,consensus:4.173315594s,downloadtx:3.022716272s,uploadtx:3.02745001s,downloadproposals:328.316183ms
重分片时间:790.194652ms, witness:6.178300289s,consensus:4.273478803s,downloadtx:3.137413243s,uploadtx:3.039664844s,downloadproposals:432.766037ms
重分片时间:1.012490857s, witness:6.091164994s,consensus:4.227777721s,downloadtx:3.052175392s,uploadtx:3.037181686s,downloadproposals:385.690591ms
重分片时间:1.918948756s, witness:6.103329872s,consensus:4.156491492s,downloadtx:3.060177319s,uploadtx:3.041280143s,downloadproposals:314.880388ms
重分片时间:1.425366335s, witness:6.041270124s,consensus:4.21322367s,downloadtx:3.018912234s,uploadtx:3.018464963s,downloadproposals:369.609864ms
重分片时间:1.431442283s, witness:6.089447436s,consensus:4.085162429s,downloadtx:3.045795248s,uploadtx:3.040637434s,downloadproposals:241.973526ms
重分片时间:1.611810748s, witness:6.067367207s,consensus:4.226688032s,downloadtx:3.054293416s,uploadtx:3.011953043s,downloadproposals:383.924016ms
重分片时间:353.344862ms, witness:6.063619782s,consensus:4.218647729s,downloadtx:3.043409525s,uploadtx:3.017042355s,downloadproposals:373.763404ms
重分片时间:1.601023099s, witness:6.128515502s,consensus:4.141254425s,downloadtx:3.072134721s,uploadtx:3.055230505s,downloadproposals:299.115731ms
重分片时间:1.701778534s, witness:6.090286701s,consensus:4.243622962s,downloadtx:3.058566119s,uploadtx:3.030500018s,downloadproposals:398.778028ms
重分片时间:1.124682119s, witness:6.057449741s,consensus:4.225111893s,downloadtx:3.048656814s,uploadtx:3.007307181s,downloadproposals:385.105825ms
重分片时间:1.65237353s, witness:6.099826663s,consensus:4.283378999s,downloadtx:3.05772745s,uploadtx:3.04045885s,downloadproposals:441.67843ms
重分片时间:1.406251698s, witness:6.081013174s,consensus:4.216034289s,downloadtx:3.038873102s,uploadtx:3.03991129s,downloadproposals:374.412947ms
重分片时间:1.884798431s, witness:6.118326916s,consensus:4.237966191s,downloadtx:3.083482642s,uploadtx:3.033048913s,downloadproposals:395.808366ms
重分片时间:1.253773264s, witness:6.074368216s,consensus:4.293531292s,downloadtx:3.045732944s,uploadtx:3.027426287s,downloadproposals:450.841177ms
重分片时间:725.253314ms, witness:6.09462373s,consensus:4.301329576s,downloadtx:3.055890583s,uploadtx:3.037321878s,downloadproposals:459.333667ms
重分片时间:1.919124422s, witness:6.101560712s,consensus:4.301861957s,downloadtx:3.04865115s,uploadtx:3.051199736s,downloadproposals:459.528507ms
重分片时间:1.233620018s, witness:6.055549936s,consensus:4.194337064s,downloadtx:3.028370384s,uploadtx:3.023871243s,downloadproposals:352.1817ms
重分片时间:1.108669538s, witness:6.086224244s,consensus:4.133917038s,downloadtx:3.033343033s,uploadtx:3.048683399s,downloadproposals:292.840382ms
重分片时间:1.338001342s, witness:6.085679019s,consensus:4.322545072s,downloadtx:3.048770964s,uploadtx:3.035415877s,downloadproposals:481.69571ms
